,IVNO,genus_species,,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Mo98,Cd111
x,318684,Vitis_acerifolia,1,94.73745248,196.6446723,1776.847433,14.01554083,6214.957396,1986.070463,18823.60057,5107.996944,45.75558249,191.9237418,0.081735237,0.81144364,33.25524316,95.85974627,0.00512782,16.25677596,5.981146543,0.278855282,0.024449899
x,588141,Vitis_acerifolia,1,23.35236223,131.0092023,1166.801218,15.9813468,5660.589666,1305.737926,15284.8707,3971.658387,40.22617708,101.7241226,0.048139733,0.343131375,33.81447261,69.3868643,0.017477329,7.492276549,3.53767061,0.156314034,0.060344616
x,588646,Vitis_acerifolia,1,137.680886,111.0220709,1976.897836,26.30238989,7208.531961,2512.636791,20787.04128,5653.053084,65.56736946,146.9738931,0.063965694,0.277827085,58.40089437,83.12457828,0.004849113,7.214684892,3.383636576,0.29798183,0.017738782
x,588448,Vitis_acerifolia,1,18.2070322,58.44707654,1469.811734,24.00734141,5342.222323,2400.683753,16094.4391,3800.777526,60.85434456,218.8742889,0.099867492,0.416359389,55.60041492,120.5342183,0.01022095,11.92319581,1.183187028,0.171235429,0.038914568
x,1583,Vitis_acerifolia,1,58.77519357,119.3882307,1349.136877,67.32399921,5412.124249,2412.665543,17162.72458,2307.560196,91.53906871,357.6339341,0.169914547,0.658896474,68.82855256,153.686687,0.060229875,7.493530363,1.004368197,0.194630408,0.021888546
x,588459,Vitis_acerifolia,1,41.10282773,87.44553524,1684.590025,29.69096919,4674.481989,2198.630234,19260.62195,5096.823405,48.43294973,204.6717197,0.153865905,0.670246107,45.52670101,149.0531532,0.015216172,14.57431005,2.601915348,0.280341755,0.046424999
x,588378,Vitis_acerifolia,1,68.4095262,97.87690566,1114.879546,15.9624946,4428.264042,1983.040054,17219.19337,3426.533558,29.815948,245.6521975,0.106725337,0.299653902,21.9497142,110.1655958,0.011380869,7.764357998,1.93103049,0.179860544,0.015593188
x,588144,Vitis_acerifolia,1,48.9881393,98.81455457,1255.779925,11.61155577,5575.28543,1918.96383,19951.35809,4945.15498,25.85266052,97.00104687,0.043707168,0.491032386,28.11664566,85.47175353,0.015617757,11.25820163,2.572241879,0.21153694,0.047607397
x,588393,Vitis_acerifolia,1,29.56356785,182.1332075,1133.191384,18.65684489,5008.453549,2518.870236,17381.53539,6224.334293,45.66905001,293.2261782,0.111531744,0.309927603,26.78356138,66.41734678,0.017570759,10.62777725,7.035985811,0.320263305,0.013743628
x,588325,Vitis_acerifolia,1,120.401908,134.2140751,1106.274306,13.74646661,4915.789867,1919.39495,18315.57225,3275.774958,30.14915841,83.61272266,0.047619338,0.237915334,20.32536329,64.02321613,0.011927292,8.023974315,2.299022794,0.184270406,0.007752077
x,588324,Vitis_acerifolia,1,81.6527079,159.411123,1164.579867,15.39039714,4963.960204,1902.106237,17737.27273,4634.516819,34.96682795,136.6844046,0.058584554,0.241968608,27.00905702,64.38258979,0.007038304,4.339375518,6.038481635,0.225714871,0.010422154
x,588442,Vitis_acerifolia,1,195.9614227,137.5984622,1313.111477,15.67686819,5210.753199,2234.888714,18517.21116,3124.661348,52.17056013,179.9301446,0.103648135,0.574290534,44.51700918,1061.057076,0.015048933,8.079762888,1.613301209,0.275757001,0.029362944
x,588677,Vitis_aestivalis,2,73.55208004,408.9507969,1797.34192,24.01117448,6347.334632,2561.010274,17802.33852,6466.760343,69.59727988,395.6877323,0.195972736,1.708794854,129.4316366,175.6284024,0.019949177,6.439754984,4.216595593,0.181990576,0.034484602
x,237621,Vitis_aestivalis,2,42.33756782,80.93841768,2042.217224,28.35989263,6584.366766,2209.029155,14101.3699,6588.226953,58.57119033,271.7909394,0.112101471,0.487459075,62.36354674,107.7206102,0.01662061,5.297826791,4.323778391,0.377745714,0.01074352
x,483138,Vitis_aestivalis,2,125.6542669,382.8522833,1576.477781,22.25816067,5577.080786,2287.301854,15828.53128,5233.901255,54.10744573,239.6776427,0.108941574,1.081300504,60.61323243,135.273734,0.021322358,4.148623702,3.818103749,0.10110932,0.061567742
x,483143,Vitis_aestivalis,2,46.67489957,118.4318701,1548.719683,18.62911152,5241.987959,2480.766558,15508.25519,6313.037393,59.66561316,342.5802505,0.151045061,1.003308706,62.08832551,136.0586813,0.020910821,2.721192687,3.8148403,0.099023261,0.040109725
x,588626,Vitis_aestivalis,2,37.53004798,90.64332882,1011.921253,13.13451446,5460.969863,1556.925874,16397.51028,2226.091267,50.17791162,222.3044558,0.116021454,0.846695999,69.57974509,111.8070214,0.013396134,3.322612672,0.838024688,0.229717239,0.026023889
x,483130,Vitis_aestivalis,2,107.0318037,147.5232497,1658.148673,16.37010729,5869.125491,2409.62791,16464.83306,4373.333878,41.21696554,214.6360539,0.101404079,0.41466687,70.83395857,110.8467576,0.006947108,3.364851847,3.632634228,0.085445282,0.020299665
x,588199,Vitis_cinerea,3,127.1669641,215.1842973,2397.140065,38.19870692,7184.589542,3153.667317,16010.92288,7074.053054,96.93466219,991.1910466,0.492176411,7.003996196,130.7560626,321.612641,0.051979957,16.40428338,4.015583352,0.317574423,0.041703231
x,588200,Vitis_cinerea,3,127.0232818,641.0899127,1854.803364,28.4550764,5608.611799,2374.820028,13926.74633,9512.054074,62.29096916,491.9063475,0.21525128,1.546897259,101.3999537,141.0635404,0.01559518,6.623451324,8.88468509,0.681875765,0.037941554
x,588198,Vitis_cinerea,3,21.67241138,211.7831534,1767.579375,24.08648598,6144.583382,1690.6341,14791.31051,13560.83694,59.10682591,318.4942819,0.23629812,1.713918371,70.07635703,171.1717305,0.018773227,8.729696558,13.46129492,0.598200826,0.022432721
x,588205,Vitis_cinerea,3,67.13454561,528.0217722,1726.973438,31.71315389,6153.291993,1361.828469,12191.46775,6318.874135,70.26020741,338.7043787,0.212224108,0.803516534,75.78340871,182.2726879,0.021190364,6.200134569,3.906140393,0.214273334,0.032758003
x,588134,Vitis_cinerea,3,133.0594219,488.3185201,1882.889622,14.54960184,5958.737366,2314.605243,18227.12741,8659.600482,48.43243927,322.166039,0.142354427,2.231395568,131.7762827,192.8381633,0.009111857,2.893742357,6.123574687,0.774866362,0.053318521
x,588217,Vitis_cinerea,3,106.3991956,133.8210236,1949.804636,13.56003411,5817.188127,3305.603193,18252.35322,9692.5077,62.27067817,344.4267816,0.126372914,0.499895428,69.29607221,80.05093615,0.006907938,6.855979929,8.853726914,0.867926834,0.034100954
x,588398,Vitis_cinerea,3,43.03350186,231.158567,1717.515628,15.85854839,6785.442558,1837.686044,20005.7138,6544.884874,70.55674958,279.3648434,0.147494779,2.196956154,110.4829549,134.1903677,0.009263211,3.713194123,4.859457583,0.353534976,0.034490167
x,588356,Vitis_cinerea,3,57.36931218,404.5422028,1663.801819,28.26888256,6756.205976,2266.9307,11909.56023,11388.13574,79.80015301,552.2450395,0.241531864,2.377967346,117.065241,157.3802807,0.01120751,3.138618775,6.498727926,0.362953786,0.023630509
x,588221,Vitis_cinerea,3,103.6378747,471.3444326,1737.671264,24.71692076,6997.793454,3331.733217,16757.11255,13976.48422,56.39102972,458.3435766,0.171848826,0.735079823,84.95630636,157.3209173,0.019111411,3.37415292,12.12299509,1.234927669,0.043716911
x,588154,Vitis_cinerea,3,156.3249809,441.9792079,1537.077049,16.47462633,6553.974614,2775.558477,16210.3592,11418.43542,67.74562934,506.434732,0.165513182,1.078481007,112.3729991,141.3115903,0.020108166,3.188233933,11.52017825,0.814029969,0.030871296
x,588208,Vitis_cinerea,3,37.07983298,147.6518034,2777.584665,27.07158519,8042.58319,2583.143212,17332.94657,22335.43585,127.2522244,683.0923156,0.285273373,4.46165427,228.3322874,407.8193268,0.015438546,7.501047958,18.68424643,0.840107099,0.042316156
x,588186,Vitis_cinerea,3,103.6672273,396.7189173,1419.290744,16.41658426,6847.029791,2305.099041,16494.06387,12628.38421,54.49927481,415.4689697,0.15261554,1.197143388,103.0181894,172.5828498,0.007886724,3.144512205,10.48322075,1.813390879,0.03194081
x,588197,Vitis_cinerea,3,102.1219699,327.9491028,1867.376243,20.74139978,6268.946403,2661.598397,20851.28844,5607.193495,64.95043222,403.6566059,0.18470545,3.259695886,77.82141767,130.4666397,0.017893727,4.477834508,3.508387752,0.934556787,0.032845364
x,588218,Vitis_cinerea,3,52.26439831,459.17992,1493.198329,19.83680332,6464.131194,2182.026657,16098.77955,11097.79513,124.7923691,373.1173923,0.174196274,4.149430177,138.4180961,342.2978019,0.028696053,6.111441325,6.466946184,1.43319586,0.079922085
x,171,Vitis_cinerea,3,75.2132194,92.61998698,1133.607888,16.2298414,4876.864695,1983.738867,12694.0698,5194.202183,84.72929259,405.5870902,0.166463628,0.708715431,91.31077285,133.1899535,0.019941871,1.973270702,4.11403348,0.079544076,0.044791298
x,588575,Vitis_cinerea,3,21.76877895,89.73312336,1701.517876,18.01525418,7236.960182,2507.94216,20140.16093,8950.264786,62.34619375,379.9429799,0.157276351,1.626819436,108.1892858,156.8193096,0.015681844,4.084482412,6.220994314,2.827201648,0.029887547
x,597232,Vitis_cinerea,3,40.60209278,226.0874026,1420.253109,24.64093769,6324.599859,2583.947868,20032.36067,7502.904118,75.09482325,311.9985344,0.156875459,4.269305812,93.32256978,210.4285508,0.023067761,5.204493788,3.934108078,0.736435514,0.246082775
x,588678,Vitis_cinerea,3,84.97460875,290.0480204,1516.745441,28.36326413,6481.808186,2596.438914,17733.94107,6409.900364,56.69600905,371.8721413,0.162277487,2.7093781,128.1566224,218.8669087,0.022218674,6.278528774,3.160559213,1.344697435,0.037591519
x,588466,Vitis_cinerea,3,17.31428989,92.41826795,1822.462012,17.3661364,4658.105371,2001.656598,14387.22697,8920.750675,48.81631747,334.550152,0.125515988,0.458201689,72.02883382,111.7218412,0.011220521,3.306839417,6.380348415,0.424825544,0.025318582
x,588685,Vitis_cinerea,3,73.48443885,487.1420172,2057.609013,24.92394093,6466.180564,2362.951296,17337.97545,12213.14587,58.65093419,354.3161655,0.126906212,3.013596052,76.86616493,128.5186873,0.035212372,5.81681946,10.95623074,1.165012378,0.055889438
x,588460,Vitis_cinerea,3,14.00194952,125.2158473,1331.489325,22.11445344,5644.331129,2271.992935,16255.34918,6416.406029,55.2840753,373.3442789,0.203482207,1.157980882,100.6388075,136.9924982,0.015924287,8.553807908,4.138695442,0.90352298,0.024368424
x,588328,Vitis_cinerea,3,175.9178186,215.2293408,1844.464832,22.0355366,6388.510427,2075.117559,17543.5719,10599.03729,80.74961423,405.4181936,0.190305757,4.229787477,97.7007675,178.2039077,0.013417827,3.775103164,7.501420595,0.711824845,0.040251841
x,588143,Vitis_cinerea,3,93.68581161,203.4359563,1592.214143,33.13831395,6693.408404,2530.471592,17981.6169,10671.24463,78.45209259,483.5687042,0.194869768,1.521357356,112.0458706,148.6016975,0.017573109,5.071582898,7.03166882,1.040270725,0.03939697
x,588372,Vitis_cinerea,3,203.8571863,683.0089665,1847.495778,29.0701747,7009.151991,2147.991608,20952.73556,5197.008834,93.3903769,323.8303149,0.15985337,3.269193916,145.6339923,170.81859,0.017787733,4.563839752,3.053231389,0.735777118,0.071755343
x,588329,Vitis_cinerea,3,56.34339444,268.8212782,1379.499794,49.80509763,6032.795759,2737.85486,18965.80518,4265.071755,81.9231707,901.4041284,0.382912061,6.021570032,113.0091327,210.8869517,0.023401542,4.220450139,2.370222401,0.495470247,0.03972444
x,588352,Vitis_cinerea,3,17.58481893,180.0697255,936.1471621,14.40690333,3133.619693,1539.136295,8551.354789,7475.839752,38.76126081,219.4052629,0.096905388,1.962158474,65.80339564,101.0032591,0.00719921,1.796274326,6.624595467,0.272796315,0.023227961
x,588220,Vitis_cinerea,3,118.3388922,373.3585732,2133.350835,12.75956292,6249.527452,2663.25984,16001.30936,11078.21565,72.55813872,386.0286963,0.155239852,1.757540137,103.1829566,118.7312336,0.00706802,4.33618411,17.08239529,0.671874091,0.026736979
x,588222,Vitis_cinerea,3,213.4382944,560.2770364,1658.580323,16.48374511,6658.466006,2553.303145,16536.92704,8790.745308,69.94761427,442.594114,0.217716051,2.558496897,141.5192067,137.9848459,0.015099051,5.005965071,5.865957549,0.68193355,0.058330624
x,588128,Vitis_labrusca,4,57.87479545,537.5981404,1934.596456,17.02314492,6103.994403,2369.175928,18578.92676,5557.998099,69.07929343,291.6252376,0.128460784,0.699854669,83.61389967,109.3482311,0.002492986,4.901689519,7.561081361,1.156686969,0.01789411
x,588173,Vitis_labrusca,4,68.08214708,198.6547323,1775.286946,14.71905412,5805.296345,1871.021641,18656.57555,5403.016117,50.39967309,111.8124736,0.0639211,0.818721354,75.78387232,118.0046083,0.015762237,4.705302856,4.082109018,0.05156168,0.026281595
x,588182,Vitis_labrusca,4,91.09580116,371.84644,2286.021205,23.65161213,5857.690722,1792.890424,18214.06706,5455.55166,56.93492956,168.3575779,0.080211467,1.202076815,93.17088793,116.4049473,0.016009856,3.716270468,4.489051888,0.0974562,0.019997555
x,588165,Vitis_labrusca,4,205.1360264,340.162435,2027.925461,14.96920432,5920.59364,2092.880245,18377.64365,4820.340716,52.53101758,184.2418327,0.071603447,0.904179991,50.97529952,123.1730191,0.013349563,4.996801462,3.186872037,0.053898438,0.026285867
x,483164,Vitis_labrusca,4,142.3903409,370.6231402,2001.853002,23.61544451,7166.249788,2661.392296,18463.67835,8326.947449,68.05542416,403.8961584,0.186208432,1.317206624,83.83872399,184.907384,0.028884673,4.984702541,6.439971871,0.060645748,0.052689948
x,483160,Vitis_labrusca,4,170.2234303,283.0091534,1551.245061,28.39932091,5848.305856,2003.931764,17750.0441,3751.00646,70.87431617,273.1869909,0.125634943,0.862341293,101.2360415,121.2086792,0.018874751,4.562495264,3.110522571,0.130752063,0.03804389
x,483161,Vitis_labrusca,4,87.17708761,172.8638789,1610.888661,20.16683427,5443.653004,2359.726278,17144.31885,6995.203526,47.43674209,233.0694922,0.108511018,0.636152542,68.79961407,125.0117234,0.011898362,6.160905519,7.414895044,0.028948831,0.030910718
x,483148,Vitis_labrusca,4,177.2084846,678.4810369,2719.12282,21.14108567,6027.04086,2073.120216,18206.41062,6525.657123,62.40766585,251.4099951,0.095492602,1.213839138,87.20551236,137.6335511,0.029622032,1.88970283,6.095819086,0.086797763,0.028648732
x,588583,Vitis_labrusca,4,84.46870278,315.8795705,1614.019244,25.11547813,6249.828921,2396.120805,20925.29884,1633.76323,40.58618533,130.9137582,0.059303256,1.79946807,75.15394606,117.0716003,0.051771936,3.574951643,1.092523584,0.131434884,0.034798331
